# Undirected graph (each unordered pair of nodes is saved once): attempt6.txt
# Nodes: 90 Edges: 124
# NodeId	NodeId
0	49
1	17
1	23
2	13
2	28
2	39
2	48
2	58
2	59
3	57
3	62
3	73
3	80
4	44
4	53
5	40
5	45
6	9
6	10
6	25
6	46
6	57
6	58
6	87
7	26
7	42
7	63
7	87
8	32
8	36
8	38
8	65
8	74
8	82
8	83
9	51
10	67
11	40
11	41
11	72
11	83
12	40
13	34
13	67
13	72
13	76
14	26
14	74
16	36
17	24
17	41
17	43
17	68
18	31
19	62
20	56
20	70
21	79
21	88
22	66
23	35
24	33
24	84
25	29
25	31
25	78
26	71
26	72
27	53
27	60
27	78
29	34
32	34
32	80
33	38
33	46
33	49
33	68
33	88
34	84
35	60
35	78
35	81
36	51
36	86
37	55
37	69
38	53
38	59
38	61
38	66
39	47
39	50
40	44
41	42
41	49
43	46
43	52
44	47
44	63
44	89
45	64
46	65
47	53
47	84
49	70
50	77
51	65
53	62
54	58
54	68
56	64
57	79
58	80
62	82
63	65
72	76
74	89
76	78
76	86
79	86
80	82
80	85
81	86
